Measure	DAX Expression	Parent	Child	Tables	Columns
Delta_1_BGFY	[FYFC_1(for BG comp.)] - [FYBG_0]	FYFC_1(for BG comp.); Volume_effect_1_FYFC(for BG comp.); Volume_0_FYFC; Volume_0_YTD; Matrix_0_Act; Maris_0_Act; Matrix_1_FC_Current; EBITbSI_0_FC_Current; CM1/kg_0_BGFY_VolumeCalc; CM1_effect_0_BGFY; Matrix_1_BG; Ebit_0_BG; Volume_0_BGFY; Price_effect_1_FYFC(for BG comp.); Price_1_FYFC; FixedCost_effect_1_FYFC; FixedCost_effect_2_YTD; CM1_effect_1_FYFC; CM1_effect_1_YTD; VarCost_effect_FYFC(for BG comp.); CM1/kg_0_BGFY_VarCostCalc; EBITbSI_effect_1_FYFC; EBITbSI_effect_1_YTD; FYBG_0; Volume_effect_0_BGFY; Price_effect_1_BGFY; Price_0_BGFY; FixedCost_effect_0_BGFY; VarCost_effect_0_BGFY; EBITbSI_effect_0_BGFY	Delta_2_BGFY_SBU	DT_Matrix_Act_Table_ND; DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; Historical; FT_Budget_EPME	DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]; DT_Date[Year]; Historical[Value]; Historical[check]; Historical[Input Date]; Historical[Forecast Month]; Historical[Input_Date_for_CM]; Historical[KPI]; DT_Date[Month_short]; FT_Budget_EPME[Value]; FT_Budget_EPME[KPI]
Delta_2_BGFY_SBU	 SWITCH (     MAX ( SBU_Keys_disconected[ID] ),     7, CALCULATE ( SUMX ( DT_SBU, [Delta_1_BGFY] ), ALL ( DT_SBU ) ),     CALCULATE (         [Delta_1_BGFY],         FILTER (             DT_SBU,             DT_SBU[SBU_KEY] = SELECTEDVALUE ( SBU_Keys_disconected[SBU_Key] )         )     ) )	Delta_1_BGFY; FYFC_1(for BG comp.); Volume_effect_1_FYFC(for BG comp.); Volume_0_FYFC; Volume_0_YTD; Matrix_0_Act; Maris_0_Act; Matrix_1_FC_Current; EBITbSI_0_FC_Current; CM1/kg_0_BGFY_VolumeCalc; CM1_effect_0_BGFY; Matrix_1_BG; Ebit_0_BG; Volume_0_BGFY; Price_effect_1_FYFC(for BG comp.); Price_1_FYFC; FixedCost_effect_1_FYFC; FixedCost_effect_2_YTD; CM1_effect_1_FYFC; CM1_effect_1_YTD; VarCost_effect_FYFC(for BG comp.); CM1/kg_0_BGFY_VarCostCalc; EBITbSI_effect_1_FYFC; EBITbSI_effect_1_YTD; FYBG_0; Volume_effect_0_BGFY; Price_effect_1_BGFY; Price_0_BGFY; FixedCost_effect_0_BGFY; VarCost_effect_0_BGFY; EBITbSI_effect_0_BGFY		SBU_Keys_disconected; DT_SBU; DT_Matrix_Act_Table_ND; DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; Historical; FT_Budget_EPME	SBU_Keys_disconected[ID]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]; DT_Date[Year]; Historical[Value]; Historical[check]; Historical[Input Date]; Historical[Forecast Month]; Historical[Input_Date_for_CM]; Historical[KPI]; DT_Date[Month_short]; FT_Budget_EPME[Value]; FT_Budget_EPME[KPI]; DT_SBU[SBU_KEY]; SBU_Keys_disconected[SBU_Key]
FYFC_1(for BG comp.)	 SWITCH (     MAX ( DT_Matrix_Act_Table_ND[KPI] ),     "Volume", [Volume_effect_1_FYFC(for BG comp.)],     "Price", [Price_effect_1_FYFC(for BG comp.)],     "Fixed Cost", [FixedCost_effect_1_FYFC],     "CM1", [CM1_effect_1_FYFC],     "Variable Cost", [VarCost_effect_FYFC(for BG comp.)],     "EBITbSI", [EBITbSI_effect_1_FYFC] )	Volume_effect_1_FYFC(for BG comp.); Volume_0_FYFC; Volume_0_YTD; Matrix_0_Act; Maris_0_Act; Matrix_1_FC_Current; EBITbSI_0_FC_Current; CM1/kg_0_BGFY_VolumeCalc; CM1_effect_0_BGFY; Matrix_1_BG; Ebit_0_BG; Volume_0_BGFY; Price_effect_1_FYFC(for BG comp.); Price_1_FYFC; FixedCost_effect_1_FYFC; FixedCost_effect_2_YTD; CM1_effect_1_FYFC; CM1_effect_1_YTD; VarCost_effect_FYFC(for BG comp.); CM1/kg_0_BGFY_VarCostCalc; EBITbSI_effect_1_FYFC; EBITbSI_effect_1_YTD	Delta_1_BGFY; Delta_2_BGFY_SBU	DT_Matrix_Act_Table_ND; DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; Historical; FT_Budget_EPME	DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]; DT_Date[Year]; Historical[Value]; Historical[check]; Historical[Input Date]; Historical[Forecast Month]; Historical[Input_Date_for_CM]; Historical[KPI]; DT_Date[Month_short]; FT_Budget_EPME[Value]; FT_Budget_EPME[KPI]
Delta_2_YTD_BG_SBU	 SWITCH (     MAX ( SBU_Keys_disconected[ID] ),     7,         CALCULATE (             SUMX ( DT_SBU, ( [Act_YTD_1(for BG comp.)] - [BGYTD_0] ) ),             ALL ( DT_SBU )         ),     CALCULATE (         ( [Act_YTD_1(for BG comp.)] - [BGYTD_0] ),         FILTER (             DT_SBU,             DT_SBU[SBU_KEY] = SELECTEDVALUE ( SBU_Keys_disconected[SBU_Key] )         )     ) )	Act_YTD_1(for BG comp.); Volume_effect_1_YTD(for BG comp.); Volume_0_YTD; Matrix_0_Act; Maris_0_Act; CM1/kg_0_BG_YTD_VolumeCalc; CM1_effect_0_BG_YTD; CM1_effect_0_BGFY; Matrix_1_BG; Ebit_0_BG; Volume_0_BG_YTD; Volume_0_BGFY; Price_effect_1_YTD(for BG comp.); Price_0_YTD; FixedCost_effect_2_YTD; CM1_effect_1_YTD; VarCost_effect_YTD(for BG comp.); CM1/kg_0_BG_YTD_VarCostCalc; EBITbSI_effect_1_YTD; BGYTD_0; Volume_effect_1_BG_YTD; Price_effect_1_BG_YTD; Price_0_BG_YTD; Price_0_BGFY; FixedCost_effect_1_BG_YTD; FixedCost_effect_0_BGFY; VarCost_effect_0_BG_YTD; EBITbSI_effect_1_BG_YTD; EBITbSI_effect_0_BGFY		SBU_Keys_disconected; DT_SBU; DT_Matrix_Act_Table_ND; DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; FT_Budget_EPME	SBU_Keys_disconected[ID]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]; DT_Date[Month_short]; FT_Budget_EPME[Value]; FT_Budget_EPME[KPI]; DT_SBU[SBU_KEY]; SBU_Keys_disconected[SBU_Key]
Act_YTD_1(for BG comp.)	 SWITCH (     MAX ( DT_Matrix_Act_Table_ND[KPI] ),     "Volume", [Volume_effect_1_YTD(for BG comp.)],     "Price", [Price_effect_1_YTD(for BG comp.)],     "Fixed Cost", [FixedCost_effect_2_YTD],     "CM1", [CM1_effect_1_YTD],     "Variable Cost", [VarCost_effect_YTD(for BG comp.)],     "EBITbSI", [EBITbSI_effect_1_YTD] )	Volume_effect_1_YTD(for BG comp.); Volume_0_YTD; Matrix_0_Act; Maris_0_Act; CM1/kg_0_BG_YTD_VolumeCalc; CM1_effect_0_BG_YTD; CM1_effect_0_BGFY; Matrix_1_BG; Ebit_0_BG; Volume_0_BG_YTD; Volume_0_BGFY; Price_effect_1_YTD(for BG comp.); Price_0_YTD; FixedCost_effect_2_YTD; CM1_effect_1_YTD; VarCost_effect_YTD(for BG comp.); CM1/kg_0_BG_YTD_VarCostCalc; EBITbSI_effect_1_YTD	Delta_2_YTD_BG_SBU	DT_Matrix_Act_Table_ND; DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; FT_Budget_EPME	DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]; DT_Date[Month_short]; FT_Budget_EPME[Value]; FT_Budget_EPME[KPI]
BGYTD_0	 SWITCH (     MAX ( DT_Matrix_Act_Table_ND[KPI] ),     "Volume", [Volume_effect_1_BG_YTD],     "Price", [Price_effect_1_BG_YTD],     "Fixed Cost", [FixedCost_effect_1_BG_YTD],     "CM1", [CM1_effect_0_BG_YTD],     "Variable Cost", [VarCost_effect_0_BG_YTD],     "EBITbSI", [EBITbSI_effect_1_BG_YTD] )	Volume_effect_1_BG_YTD; Volume_0_BG_YTD; Volume_0_BGFY; Matrix_1_BG; Ebit_0_BG; CM1/kg_0_BG_YTD_VolumeCalc; CM1_effect_0_BG_YTD; CM1_effect_0_BGFY; Price_effect_1_BG_YTD; Price_0_BG_YTD; Price_0_BGFY; FixedCost_effect_1_BG_YTD; FixedCost_effect_0_BGFY; VarCost_effect_0_BG_YTD; CM1/kg_0_BG_YTD_VarCostCalc; EBITbSI_effect_1_BG_YTD; EBITbSI_effect_0_BGFY	Delta_2_YTD_BG_SBU	DT_Matrix_Act_Table_ND; DT_Date; FT_Budget_EPME	DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_short]; FT_Budget_EPME[Value]; FT_Budget_EPME[KPI]; DT_Date[Date]
Act_YTD_0(for PY comp.)	 SWITCH (     MAX ( DT_Matrix_Act_Table_ND[KPI] ),     "Volume", [Volume_effect_1_YTD(for PY comp.)],     "Price", [Price_effect_1_YTD(for PY comp.)],     "Fixed Cost", [FixedCost_effect_2_YTD],     "CM1", [CM1_effect_1_YTD],     "Variable Cost", [VarCost_effect_YTD(for PY comp.)],     "EBITbSI", [EBITbSI_effect_1_YTD] )	Volume_effect_1_YTD(for PY comp.); Volume_0_YTD; Matrix_0_Act; Maris_0_Act; CM1/kg_PYTD_VolumeCalc; CM1_effect_0_PYTD; CM1_effect_1_YTD; Volume_0_PYTD; Price_effect_1_YTD(for PY comp.); Price_0_YTD; FixedCost_effect_2_YTD; VarCost_effect_YTD(for PY comp.); CM1/kg_PYTD_VarCostCalc; EBITbSI_effect_1_YTD	Delta_1_PYTD_SBU	DT_Matrix_Act_Table_ND; DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched	DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]
PYTD_0	 SWITCH (     MAX ( DT_Matrix_Act_Table_ND[KPI] ),     "Volume", [Volume_effect_1_PYTD],     "Price", [Price_effect_1_PYTD],     "Fixed Cost", [FixedCost_effect_0_PYTD],     "CM1", [CM1_effect_0_PYTD],     "Variable Cost", [VarCost_effect_PYTD] )	Volume_effect_1_PYTD; Volume_0_PYTD; Volume_0_YTD; Matrix_0_Act; Maris_0_Act; CM1/kg_PYTD_VolumeCalc; CM1_effect_0_PYTD; CM1_effect_1_YTD; Price_effect_1_PYTD; Price_0_PYTD; Price_0_YTD; FixedCost_effect_0_PYTD; FixedCost_effect_2_YTD; VarCost_effect_PYTD; CM1/kg_PYTD_VarCostCalc	Delta_1_PYTD_SBU	DT_Matrix_Act_Table_ND; DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched	DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]
Delta_1_PYTD_SBU	 SWITCH (     MAX ( SBU_Keys_disconected[ID] ),     7,         CALCULATE (             SUMX ( DT_SBU, ( [Act_YTD_0(for PY comp.)] - [PYTD_0] ) ),             ALL ( DT_SBU )         ),     CALCULATE (         ( [Act_YTD_0(for PY comp.)] - [PYTD_0] ),         FILTER (             DT_SBU,             DT_SBU[SBU_KEY] = SELECTEDVALUE ( SBU_Keys_disconected[SBU_Key] )         )     ) )	Act_YTD_0(for PY comp.); Volume_effect_1_YTD(for PY comp.); Volume_0_YTD; Matrix_0_Act; Maris_0_Act; CM1/kg_PYTD_VolumeCalc; CM1_effect_0_PYTD; CM1_effect_1_YTD; Volume_0_PYTD; Price_effect_1_YTD(for PY comp.); Price_0_YTD; FixedCost_effect_2_YTD; VarCost_effect_YTD(for PY comp.); CM1/kg_PYTD_VarCostCalc; EBITbSI_effect_1_YTD; PYTD_0; Volume_effect_1_PYTD; Price_effect_1_PYTD; Price_0_PYTD; FixedCost_effect_0_PYTD; VarCost_effect_PYTD		SBU_Keys_disconected; DT_SBU; DT_Matrix_Act_Table_ND; DT_Date; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched	SBU_Keys_disconected[ID]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_Number]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]; DT_SBU[SBU_KEY]; SBU_Keys_disconected[SBU_Key]
Act_FYFC_0(for PY comp.)	 VAR CM1 = [CM1_effect_1_FYFC] - [Volume_effect_1_FYFC_for_minus_CM1_operation(for PY comp.)] RETURN     SWITCH (         MAX ( DT_Matrix_Act_Table_ND[KPI] ),         "Volume", [Volume_effect_1_FYFC(for PY comp.)],         "Fixed Cost", [FixedCost_effect_1_FYFC],         "CM1", CM1     )	CM1_effect_1_FYFC; CM1_effect_1_YTD; Matrix_0_Act; Maris_0_Act; Matrix_1_FC_Current; EBITbSI_0_FC_Current; Volume_effect_1_FYFC_for_minus_CM1_operation(for PY comp.); Volume_0_FYFC_for_minus_CM1_operation; Volume_0_YTD_for_minus_CM1_operation(for PY comp.); Volume_0_YTD; CM1/kg_PYFY_for_minus_CM1_operation; CM1_effect_0_PYFY; Volume_0_PYFY; Volume_effect_1_FYFC(for PY comp.); Volume_0_FYFC; CM1/kg_PYFY_VolumeCalc; FixedCost_effect_1_FYFC; FixedCost_effect_2_YTD	Delta_1_PYFY_SBU	FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; DT_Date; Historical	FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Date]; DT_Date[Year]; Historical[Value]; Historical[check]; Historical[Input Date]; Historical[Forecast Month]; Historical[Input_Date_for_CM]; Historical[KPI]; DT_Date[Month_Number]
PYFY_0	 SWITCH (     MAX ( DT_Matrix_Act_Table_ND[KPI] ),     "Volume", [Volume_effect_1_PYFY],     "Fixed Cost", [FixedCost_effect_0_PYFY],     "CM1", [CM1_effect_0_PYFY] - [Volume_effect_1_PYFY_for_minus_CM1_operation] )	Volume_effect_1_PYFY; Volume_0_PYFY; Matrix_0_Act; Maris_0_Act; CM1/kg_PYFY_VolumeCalc; CM1_effect_0_PYFY; FixedCost_effect_0_PYFY; Volume_effect_1_PYFY_for_minus_CM1_operation; Volume_0_PYFY_for_minus_CM1_operation(for PY comp.); CM1/kg_PYFY_for_minus_CM1_operation	Delta_1_PYFY_SBU	DT_Matrix_Act_Table_ND; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Date	DT_Matrix_Act_Table_ND[KPI]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Date[Date]
Delta_1_PYFY_SBU	 SWITCH (     MAX ( SBU_Keys_disconected[ID] ),     7,         CALCULATE (             SUMX ( DT_SBU, ( [Act_FYFC_0(for PY comp.)] - [PYFY_0] ) ),             ALL ( DT_SBU )         ),     CALCULATE (         ( [Act_FYFC_0(for PY comp.)] - [PYFY_0] ),         FILTER (             DT_SBU,             DT_SBU[SBU_KEY] = SELECTEDVALUE ( SBU_Keys_disconected[SBU_Key] )         )     ) )	Act_FYFC_0(for PY comp.); CM1_effect_1_FYFC; CM1_effect_1_YTD; Matrix_0_Act; Maris_0_Act; Matrix_1_FC_Current; EBITbSI_0_FC_Current; Volume_effect_1_FYFC_for_minus_CM1_operation(for PY comp.); Volume_0_FYFC_for_minus_CM1_operation; Volume_0_YTD_for_minus_CM1_operation(for PY comp.); Volume_0_YTD; CM1/kg_PYFY_for_minus_CM1_operation; CM1_effect_0_PYFY; Volume_0_PYFY; Volume_effect_1_FYFC(for PY comp.); Volume_0_FYFC; CM1/kg_PYFY_VolumeCalc; FixedCost_effect_1_FYFC; FixedCost_effect_2_YTD; PYFY_0; Volume_effect_1_PYFY; FixedCost_effect_0_PYFY; Volume_effect_1_PYFY_for_minus_CM1_operation; Volume_0_PYFY_for_minus_CM1_operation(for PY comp.)		SBU_Keys_disconected; DT_SBU; FT_MARIS_VW; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched; DT_Matrix_Act_Table_ND; DT_Date; Historical	SBU_Keys_disconected[ID]; FT_MARIS_VW[VALUE_EUR]; FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Date]; DT_Date[Year]; Historical[Value]; Historical[check]; Historical[Input Date]; Historical[Forecast Month]; Historical[Input_Date_for_CM]; Historical[KPI]; DT_Date[Month_Number]; DT_SBU[SBU_KEY]; SBU_Keys_disconected[SBU_Key]
CM1_effect_0_BGFY	 VAR Sel =     SELECTEDVALUE ( DT_Date[Month_short] ) VAR BGFY =     CALCULATE (         [Matrix_1_BG],         KEEPFILTERS ( DT_Matrix_Act_Table_ND[KPI] = "CM1" ),         ALL ( DT_Date[Month_short] )     ) RETURN     BGFY /* This is a fairly unusual code. Please note the logic.  1. Inner Calculate does 2 things:    a.  filter down the BG Matrix only for CM1 data    b. Ensure all months are SUMMED up using ALL for DT_Date[Month_Name]to override the month slicer selection using DT_Date[Month_Name] in report   2. Outer Calculate uses ALL in DT_Date[Month_Number] to ensure data for all months are displayed in OUTPUT  3. This means 2 ALL code snippets are needed, just one will not do. 4. IMPORTANT: Inner ALL must use Month_Name to override slicer selection Outer ALL cannot use Month_Name, else full year data not shown in Output. It must use a different field than Month_Name, hence Month_Number is used as they are essentially the same thing */	Matrix_1_BG; Ebit_0_BG	Volume_effect_1_FYFC(for BG comp.); Volume_effect_1_YTD(for BG comp.); VarCost_effect_FYFC(for BG comp.); VarCost_effect_YTD(for BG comp.); FYBG_0; Delta_1_BGFY; Delta_2_BGFY_SBU; FYFC_1(for BG comp.); Delta_2_YTD_BG_SBU; Act_YTD_1(for BG comp.); BGYTD_0; CM1_effect_0_BG_YTD; Volume_effect_0_BGFY; Volume_effect_1_BG_YTD; CM1/kg_0_BGFY_VarCostCalc; CM1/kg_0_BGFY_VolumeCalc; CM1/kg_0_BG_YTD_VolumeCalc; CM1/kg_0_BG_YTD_VarCostCalc; VarCost_effect_0_BGFY; VarCost_effect_0_BG_YTD	DT_Date; FT_Budget_EPME; DT_Matrix_Act_Table_ND	DT_Date[Month_short]; FT_Budget_EPME[Value]; FT_Budget_EPME[KPI]; DT_Matrix_Act_Table_ND[KPI]
CM1_effect_0_BG_YTD	 TOTALYTD ( [CM1_effect_0_BGFY], DT_Date[Date] )	CM1_effect_0_BGFY; Matrix_1_BG; Ebit_0_BG	Volume_effect_1_YTD(for BG comp.); VarCost_effect_YTD(for BG comp.); Delta_2_YTD_BG_SBU; Act_YTD_1(for BG comp.); BGYTD_0; Volume_effect_1_BG_YTD; CM1/kg_0_BG_YTD_VolumeCalc; CM1/kg_0_BG_YTD_VarCostCalc; VarCost_effect_0_BG_YTD	DT_Date; FT_Budget_EPME; DT_Matrix_Act_Table_ND	DT_Date[Month_short]; FT_Budget_EPME[Value]; FT_Budget_EPME[KPI]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Date]
Volume_0_BGFY	 VAR Sel =     SELECTEDVALUE ( DT_Date[Month_short] ) VAR BGFY =     CALCULATE (         [Matrix_1_BG],         KEEPFILTERS ( DT_Matrix_Act_Table_ND[KPI] = "Volume" ),         ALL ( DT_Date[Month_short] )     ) RETURN     BGFY //For explanation of logic, see [CM1_effect_0_BGFY]	Matrix_1_BG; Ebit_0_BG	Volume_effect_1_FYFC(for BG comp.); Volume_effect_1_YTD(for BG comp.); Price_effect_1_FYFC(for BG comp.); Price_effect_1_YTD(for BG comp.); VarCost_effect_FYFC(for BG comp.); VarCost_effect_YTD(for BG comp.); FYBG_0; Delta_1_BGFY; Delta_2_BGFY_SBU; FYFC_1(for BG comp.); Delta_2_YTD_BG_SBU; Act_YTD_1(for BG comp.); BGYTD_0; Volume_effect_0_BGFY; Volume_0_BG_YTD; Volume_effect_1_BG_YTD; CM1/kg_0_BGFY_VarCostCalc; CM1/kg_0_BGFY_VolumeCalc; CM1/kg_0_BG_YTD_VolumeCalc; CM1/kg_0_BG_YTD_VarCostCalc; Price_effect_1_BGFY; Price_effect_1_BG_YTD; VarCost_effect_0_BGFY; VarCost_effect_0_BG_YTD	DT_Date; FT_Budget_EPME; DT_Matrix_Act_Table_ND	DT_Date[Month_short]; FT_Budget_EPME[Value]; FT_Budget_EPME[KPI]; DT_Matrix_Act_Table_ND[KPI]
Volume_effect_0_BGFY	[Volume_0_BGFY] * [CM1/kg_0_BGFY_VolumeCalc]	Volume_0_BGFY; Matrix_1_BG; Ebit_0_BG; CM1/kg_0_BGFY_VolumeCalc; CM1_effect_0_BGFY	FYBG_0; Delta_1_BGFY; Delta_2_BGFY_SBU	DT_Date; FT_Budget_EPME; DT_Matrix_Act_Table_ND	DT_Date[Month_short]; FT_Budget_EPME[Value]; FT_Budget_EPME[KPI]; DT_Matrix_Act_Table_ND[KPI]
Volume_0_BG_YTD	 TOTALYTD ( [Volume_0_BGFY], DT_Date[Date] )	Volume_0_BGFY; Matrix_1_BG; Ebit_0_BG	Volume_effect_1_YTD(for BG comp.); Price_effect_1_YTD(for BG comp.); VarCost_effect_YTD(for BG comp.); Delta_2_YTD_BG_SBU; Act_YTD_1(for BG comp.); BGYTD_0; Volume_effect_1_BG_YTD; CM1/kg_0_BG_YTD_VolumeCalc; CM1/kg_0_BG_YTD_VarCostCalc; Price_effect_1_BG_YTD; VarCost_effect_0_BG_YTD	DT_Date; FT_Budget_EPME; DT_Matrix_Act_Table_ND	DT_Date[Month_short]; FT_Budget_EPME[Value]; FT_Budget_EPME[KPI]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Date]
Volume_effect_1_BG_YTD	[Volume_0_BG_YTD] * [CM1/kg_0_BG_YTD_VolumeCalc]	Volume_0_BG_YTD; Volume_0_BGFY; Matrix_1_BG; Ebit_0_BG; CM1/kg_0_BG_YTD_VolumeCalc; CM1_effect_0_BG_YTD; CM1_effect_0_BGFY	Delta_2_YTD_BG_SBU; BGYTD_0	DT_Date; FT_Budget_EPME; DT_Matrix_Act_Table_ND	DT_Date[Month_short]; FT_Budget_EPME[Value]; FT_Budget_EPME[KPI]; DT_Matrix_Act_Table_ND[KPI]; DT_Date[Date]
CM1/kg_0_BGFY_VarCostCalc	 IF (     SELECTEDVALUE ( DT_Matrix_Act_Table_ND[KPI] ) = "Variable Cost",     CALCULATE (         DIVIDE ( [CM1_effect_0_BGFY], [Volume_0_BGFY] ),         ALL ( DT_Matrix_Act_Table_ND[KPI] )     ) ) /*   1. CM1/kg FYFC PM = CM1 effect FYFC PM / Volume FYFC PM.  2. So, the formula is actually super simple. Then why have we written the complex code above?  3. Because, in the KPI list, CM1 and Volume are 2 different KPIs.  When we make a visual (e.g. a Table), and put KPI column in it, then try to divide: CM1 / Volume, we get a blank, as CM1 and volume are on different lines.  4. The CALCULATE code snippet helps us to divide them.  5. But we still have an issue. For the Calculate code, we get an output (same number, by the way) for each KPI. We only want an output for 'Variable cost'.  Why??  Because we use CM1/kg to calculate Variable cost effect  later.   6. Hence IF - Selectedvalue used. Now, we get an output only for 'Variable cost'.  */	CM1_effect_0_BGFY; Matrix_1_BG; Ebit_0_BG; Volume_0_BGFY	VarCost_effect_FYFC(for BG comp.); FYBG_0; Delta_1_BGFY; Delta_2_BGFY_SBU; FYFC_1(for BG comp.); VarCost_effect_0_BGFY	DT_Matrix_Act_Table_ND; DT_Date; FT_Budget_EPME	DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_short]; FT_Budget_EPME[Value]; FT_Budget_EPME[KPI]
CM1/kg_0_BGFY_VolumeCalc	 IF (     SELECTEDVALUE ( DT_Matrix_Act_Table_ND[KPI] ) = "Volume",     CALCULATE (         DIVIDE ( [CM1_effect_0_BGFY], [Volume_0_BGFY] ),         ALL ( DT_Matrix_Act_Table_ND[KPI] )     ) ) /*   1. CM1/kg FYFC PM = CM1 effect FYFC PM / Volume FYFC PM.  2. So, the formula is actually super simple. Then why have we written the complex code above?  3. Because, in the KPI list, CM1 and Volume are 2 different KPIs.  When we make a visual (e.g. a Table), and put KPI column in it, then try to divide: CM1 / Volume, we get a blank, as CM1 and volume are on different lines.  4. The CALCULATE code snippet helps us to divide them.  5. But we still have an issue. For the Calculate code, we get an output (same number, by the way) for each KPI. We only want an output for 'Variable cost'.  Why??  Because we use CM1/kg to calculate Variable cost effect  later.   6. Hence IF - Selectedvalue used. Now, we get an output only for 'Variable cost'.  */	CM1_effect_0_BGFY; Matrix_1_BG; Ebit_0_BG; Volume_0_BGFY	Volume_effect_1_FYFC(for BG comp.); FYBG_0; Delta_1_BGFY; Delta_2_BGFY_SBU; FYFC_1(for BG comp.); Volume_effect_0_BGFY	DT_Matrix_Act_Table_ND; DT_Date; FT_Budget_EPME	DT_Matrix_Act_Table_ND[KPI]; DT_Date[Month_short]; FT_Budget_EPME[Value]; FT_Budget_EPME[KPI]
